Szia	Xmax	Asd
1	710	1000
2	715	1001
3	720	1002
4	725	1003
5	730	1004
6	735	1005
7	740	1006
8	745	1007
9	750	1008
10	755	1009
11	760	1010
12	765	1011
13	770	1012
14	775	1013
15	780	1014
16	785	1015
17	790	1016
18	795	1017
19	800	1018
20	805	1019
21	810	1020
22	815	1021
23	820	1022
24	825	1023
25	830	1024
26	835	1025
27	840	1026
28	845	1027
29	850	1028
30	855	1029
31	860	1030
32	865	1031
33	870	1032
34	875	1033
35	880	1034
36	885	1035
37	890	1036
38	895	1037
39	900	1038
40	905	1039
41	910	1040
42	915	1041
43	920	1042
44	925	1043
45	930	1044
46	935	1045
47	940	1046
48	945	1047
49	950	1048
