    Time;    t;EOR
19010101; -5.7;EOR
19010102; -9.3;EOR
19010103; -9.1;EOR
19010104;-11.0;EOR
19010105;-11.1;EOR
19010106; -8.0;EOR
19010107; -5.5;EOR
19010108;-10.0;EOR
19010109;-12.1;EOR
19010110;-12.2;EOR
19010111; -9.3;EOR
19010112; -6.0;EOR
19010113; -6.4;EOR
19010114; -7.1;EOR
19010115; -7.2;EOR
19010116; -7.0;EOR
19010117; -9.3;EOR
19010118; -7.4;EOR
19010119;-10.0;EOR
19010120; -4.1;EOR
19010121;  2.4;EOR
19010122;  4.3;EOR
19010123;  5.0;EOR
19010124;  1.3;EOR
19010125; -0.1;EOR
19010126;  0.3;EOR
19010127;  2.4;EOR
19010128;  4.2;EOR
19010129;  2.3;EOR
19010130;  0.4;EOR
19010131; -0.7;EOR
19010201; -1.8;EOR
19010202;  1.5;EOR
19010203;  1.7;EOR
19010204;  1.5;EOR
19010205;  2.2;EOR
19010206;  3.5;EOR
19010207;  2.9;EOR
19010208;  2.6;EOR
19010209;  0.5;EOR
19010210; -0.4;EOR
19010211; -0.6;EOR
19010212; -4.8;EOR
19010213; -5.2;EOR
19010214; -5.6;EOR
19010215; -7.9;EOR
19010216; -7.8;EOR
19010217; -7.5;EOR
19010218; -5.5;EOR
19010219; -3.9;EOR
19010220; -3.6;EOR
19010221; -4.9;EOR
19010222; -5.2;EOR
19010223; -6.5;EOR
19010224; -0.1;EOR
19010225;  0.1;EOR
19010226; -0.3;EOR
19010227; -1.5;EOR
19010228; -1.7;EOR
19010301;  0.6;EOR
19010302;  3.1;EOR
19010303;  3.8;EOR
19010304;  3.2;EOR
19010305;  4.1;EOR
19010306;  4.4;EOR
19010307;  3.1;EOR
19010308;  5.6;EOR
19010309;  5.6;EOR
19010310;  5.7;EOR
19010311;  7.3;EOR
19010312;  8.5;EOR
19010313;  9.4;EOR
19010314;  9.7;EOR
19010315;  9.3;EOR
19010316; 10.4;EOR
19010317; 10.0;EOR
19010318; 12.1;EOR
19010319; 12.8;EOR
19010320; 13.5;EOR
19010321; 10.9;EOR
19010322;  1.2;EOR
19010323;  1.4;EOR
19010324;  2.6;EOR
19010325;  3.5;EOR
19010326;  4.1;EOR
19010327;  0.7;EOR
19010328;  1.8;EOR
19010329;  2.5;EOR
19010330;  2.8;EOR
19010331;  7.2;EOR
19010401; 10.9;EOR
19010402; 11.5;EOR
19010403; 13.2;EOR
19010404; 16.5;EOR
19010405; 10.5;EOR
19010406; 10.0;EOR
19010407; 10.1;EOR
19010408; 12.9;EOR
19010409; 15.4;EOR
19010410; 18.2;EOR
19010411; 12.8;EOR
19010412; 13.6;EOR
19010413;  8.5;EOR
19010414;  8.2;EOR
19010415; 10.8;EOR
19010416;  9.0;EOR
19010417;  8.7;EOR
19010418;  8.1;EOR
